タイムスタンプ,あなたのクラウドワークス ユーザID（ユーザーIDとは、クラウドワークスサイトの公開プロフィールページURL （https://crowdworks.jp/public/employers/xxxxxxxx）の末尾にある、クラウドワークスサイトの会員ごとに割り当てられた数字「xxxxxxxx」となります。）,あなたの年齢,あなたの性別,トレーナーとして受け入れることができる,話の聞き手として受け入れることができる,リアルだ,不気味だ,信頼できる,目が好みだ,顔が好みだ,髪が好みだ,声が好みだ,年齢が好みだ,服装が好みだ,好みだ,親しみやすい,トレーナーとして受け入れることができる,話の聞き手として受け入れることができる,リアルだ,不気味だ,信頼できる,目が好みだ,顔が好みだ,髪が好みだ,声が好みだ,年齢が好みだ,服装が好みだ,好みだ,親しみやすい
2021/01/18 3:05:16 午後 GMT+9,4059666,36,女性,5,5,5,4,5,5,5,5,2,5,5,4,5,2,2,5,5,2,1,1,3,2,4,3,2,1
2021/01/18 3:05:16 午後 GMT+9,3579473,32,女性,3,2,1,4,4,3,3,4,2,3,4,2,2,4,3,3,2,4,1,1,1,2,2,3,2,2
2021/01/18 3:05:22 午後 GMT+9,1052964,37,女性,5,5,5,3,4,4,4,5,4,4,4,4,5,4,4,4,5,4,2,2,4,2,3,3,3,3
2021/01/18 3:05:26 午後 GMT+9,3966551,37,女性,5,4,4,4,3,4,4,5,2,1,4,3,3,2,2,2,2,3,1,1,1,1,1,1,1,1
2021/01/18 3:05:40 午後 GMT+9,2600289,26,女性,4,4,3,3,4,2,3,5,4,3,3,3,4,3,2,5,4,3,2,2,1,2,2,2,1,2
2021/01/18 3:05:43 午後 GMT+9,3755000,27,女性,4,3,4,2,3,2,4,3,1,5,4,2,3,2,5,4,3,5,5,4,3,4,2,4,3,4
2021/01/18 3:05:59 午後 GMT+9,2125292,55,女性,4,4,4,1,4,4,4,4,4,4,4,4,4,3,3,4,1,3,3,3,3,3,3,3,3,3
2021/01/18 3:06:01 午後 GMT+9,2369590,50,男性,3,3,3,2,3,3,3,3,2,3,3,3,3,2,2,2,4,2,2,2,2,2,2,2,2,2
2021/01/18 3:06:02 午後 GMT+9,3964429,32,女性,1,1,3,3,2,4,2,2,2,2,2,2,3,1,1,2,4,2,3,2,2,2,2,2,2,3
2021/01/18 3:06:03 午後 GMT+9,733149,48,男性,3,3,1,4,3,2,1,3,1,3,3,1,2,3,3,2,4,3,1,1,2,1,3,2,1,2
2021/01/18 3:06:06 午後 GMT+9,kayo33333,33,女性,3,2,1,4,1,1,3,3,1,3,3,1,2,1,1,3,4,1,1,1,1,1,1,1,1,1
2021/01/18 3:06:08 午後 GMT+9,3579467,35,女性,1,2,1,5,1,3,3,3,4,3,4,3,2,1,1,1,5,2,1,3,3,2,3,4,2,1
2021/01/18 3:06:15 午後 GMT+9,3197147,20,男性,4,4,4,1,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,4,3,4,4,3,3
2021/01/18 3:06:18 午後 GMT+9,3270660,24,男性,3,3,3,2,3,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3
2021/01/18 3:06:21 午後 GMT+9,529579,41,女性,4,4,3,2,3,3,4,4,3,3,4,4,4,2,3,2,4,3,2,2,3,3,3,3,2,2
2021/01/18 3:06:25 午後 GMT+9,3954203,47,男性,3,2,2,4,3,2,2,4,1,4,2,3,3,2,2,1,4,2,2,1,2,2,3,1,1,2
2021/01/18 3:06:28 午後 GMT+9,4108062,37,女性,1,1,1,4,1,1,1,1,1,1,2,1,1,1,2,1,5,1,1,1,1,2,1,1,1,1
2021/01/18 3:06:29 午後 GMT+9,297683,44,男性,4,4,3,2,4,3,3,4,4,3,4,4,4,4,4,5,2,4,3,3,2,4,3,4,3,3
2021/01/18 3:06:35 午後 GMT+9,3948620,35,女性,3,3,3,4,3,2,1,1,1,3,2,1,2,2,1,1,5,2,1,1,2,1,3,3,1,1
2021/01/18 3:06:42 午後 GMT+9,2286689,43,男性,3,3,2,4,2,3,3,3,2,3,2,3,2,2,2,2,4,2,3,3,3,2,3,3,3,2
2021/01/18 3:06:44 午後 GMT+9,3854083,25,男性,3,2,2,4,3,5,3,5,2,4,3,3,2,2,2,3,5,3,1,2,2,3,2,2,2,1
2021/01/18 3:06:46 午後 GMT+9,1954267,37,女性,3,3,4,3,3,3,3,4,2,3,3,3,2,2,2,2,4,3,2,2,3,2,3,3,2,2
2021/01/18 3:06:50 午後 GMT+9,1407848,44,男性,4,5,3,2,4,3,3,3,2,3,2,3,4,4,3,2,3,4,2,2,2,2,4,2,2,3
2021/01/18 3:06:57 午後 GMT+9,3063359,33,女性,2,1,1,1,3,1,1,3,1,1,2,2,1,2,1,2,1,2,1,1,2,1,1,1,1,1
2021/01/18 3:07:02 午後 GMT+9,4010028,40,男性,2,2,3,4,2,1,2,1,2,2,2,1,2,3,2,2,4,3,2,2,2,2,3,3,2,3
2021/01/18 3:07:03 午後 GMT+9,1335657,40,男性,3,3,2,4,2,1,1,1,1,1,1,1,2,2,2,4,4,2,1,1,1,1,1,2,1,1
2021/01/18 3:07:04 午後 GMT+9,1751475,41,男性,2,2,2,4,2,2,2,2,2,2,2,2,2,2,3,2,4,2,2,2,2,3,2,2,2,2
2021/01/18 3:07:16 午後 GMT+9,4096953,25,女性,2,3,2,4,2,3,3,3,2,3,4,2,1,1,1,1,5,2,1,1,2,1,2,3,2,1
2021/01/18 3:07:21 午後 GMT+9,3706152,38,男性,4,5,4,1,4,4,4,4,4,3,4,5,5,5,5,3,1,3,3,3,3,3,3,3,3,3
2021/01/18 3:07:32 午後 GMT+9,4092794,32,女性,4,4,2,2,3,1,1,1,3,3,4,1,3,2,2,1,5,2,1,1,1,2,1,1,1,1
2021/01/18 3:07:41 午後 GMT+9,2579079,52,男性,4,4,3,4,4,3,3,4,4,3,4,4,4,2,2,1,5,2,2,1,2,3,3,3,2,2
2021/01/18 3:07:44 午後 GMT+9,4100083,40,女性,3,3,2,3,2,2,2,2,2,2,2,2,3,3,4,3,3,3,3,3,3,3,3,3,2,3
2021/01/18 3:07:50 午後 GMT+9,301457,41,女性,3,3,2,4,3,3,3,3,2,3,3,3,2,2,2,3,5,3,2,2,3,2,3,3,1,1
2021/01/18 3:07:57 午後 GMT+9,17660,31,男性,4,4,2,2,3,3,3,3,3,3,3,3,3,4,4,3,2,3,3,3,3,3,3,3,3,3
2021/01/18 3:08:01 午後 GMT+9,494309,32,男性,3,2,2,5,1,2,1,3,1,3,3,2,1,3,3,3,4,3,2,1,3,2,3,3,2,2
2021/01/18 3:08:01 午後 GMT+9,snooo310,24,女性,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2021/01/18 3:08:08 午後 GMT+9,3247790,41,男性,4,4,2,3,3,2,2,3,2,3,2,2,3,4,3,2,3,3,1,2,1,2,3,3,2,2
2021/01/18 3:08:10 午後 GMT+9,1577048,41,女性,2,2,2,5,2,1,2,4,2,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,2,2
2021/01/18 3:08:11 午後 GMT+9,222621,55,女性,3,3,2,3,3,2,2,2,1,3,3,2,3,1,1,4,4,2,2,1,1,1,2,1,1,1
2021/01/18 3:08:11 午後 GMT+9,1475172,46,女性,4,4,3,2,3,3,3,3,3,4,3,3,4,2,3,2,4,3,2,2,3,2,3,3,2,2
2021/01/18 3:08:20 午後 GMT+9,1080069,59,男性,2,2,2,4,3,1,1,1,2,3,3,2,1,2,2,3,4,3,2,1,2,2,3,2,2,1
2021/01/18 3:08:23 午後 GMT+9,439395,47,男性,4,4,3,2,4,4,4,4,3,3,3,4,4,2,3,2,4,3,2,2,2,3,3,3,2,2
2021/01/18 3:08:42 午後 GMT+9,baio887iwpufo51,38,男性,4,4,3,1,3,3,2,4,2,4,5,3,4,4,3,4,2,3,2,3,1,3,2,2,3,3
2021/01/18 3:08:47 午後 GMT+9,3252740,43,男性,3,3,2,3,2,2,3,2,2,3,2,2,2,2,2,4,4,3,2,2,2,3,2,3,2,2
2021/01/18 3:09:02 午後 GMT+9,3978439,32,女性,3,4,2,3,4,4,4,2,3,4,4,4,4,2,2,3,4,2,2,1,2,2,2,4,2,2
2021/01/18 3:09:13 午後 GMT+9,1157318,62,男性,4,4,4,2,4,3,4,3,4,2,3,4,3,4,4,2,2,3,2,2,2,2,2,2,2,2
2021/01/18 3:09:18 午後 GMT+9,3017657,31,男性,1,3,3,2,3,2,3,4,2,4,2,3,5,3,2,4,5,2,4,1,5,2,3,1,3,2
2021/01/18 3:09:19 午後 GMT+9,2914711,40,女性,4,4,4,3,3,4,4,4,3,3,4,4,4,3,3,4,4,3,2,2,3,3,3,3,2,2
2021/01/18 3:09:28 午後 GMT+9,271767,44,男性,4,3,2,3,1,2,2,2,1,3,2,1,2,3,3,2,3,2,1,2,2,1,2,3,1,2
2021/01/18 3:09:29 午後 GMT+9,1190927,54,男性,3,3,4,3,4,3,3,4,2,4,4,3,2,2,2,3,5,2,2,1,3,3,3,3,2,1
2021/01/18 3:09:31 午後 GMT+9,1887732,51,女性,2,3,2,3,3,3,3,3,2,4,2,3,3,3,3,2,2,3,2,2,3,2,3,3,2,2
2021/01/18 3:09:37 午後 GMT+9,3730348,60,男性,4,3,3,2,3,3,3,2,3,2,4,4,3,4,3,4,2,3,4,3,3,4,4,2,3,4
2021/01/18 3:09:41 午後 GMT+9,1390482,36,女性,2,2,2,4,2,4,4,3,2,2,1,2,3,1,1,1,5,2,1,1,1,1,1,1,1,1
2021/01/18 3:09:52 午後 GMT+9,1239651,34,男性,3,3,4,3,3,3,3,2,2,3,3,3,3,2,2,2,5,2,2,1,3,2,3,3,1,2
2021/01/18 3:10:17 午後 GMT+9,100802,47,女性,3,4,4,3,3,4,3,3,2,4,3,3,3,2,2,3,4,2,3,1,2,3,3,2,2,2
2021/01/18 3:10:23 午後 GMT+9,3915521,32,女性,4,4,1,4,2,1,2,2,1,4,3,2,2,4,4,3,5,2,1,1,1,4,2,1,1,1
2021/01/18 3:10:26 午後 GMT+9,2512963,50,男性,2,3,1,4,3,2,2,3,2,4,4,3,2,3,4,3,3,3,2,4,4,2,4,4,4,3
2021/01/18 3:10:32 午後 GMT+9,148287,42,女性,4,4,4,2,4,4,4,4,3,4,4,4,4,2,2,4,4,3,1,1,2,2,3,1,2,2
2021/01/18 3:10:34 午後 GMT+9,1212902,40,女性,5,4,3,3,5,5,2,3,2,2,2,2,3,3,5,1,4,3,1,1,1,1,1,1,2,2
2021/01/18 3:10:35 午後 GMT+9,2511054,45,男性,4,4,3,1,3,3,4,4,2,3,3,3,4,3,2,2,1,2,2,2,3,2,3,3,2,1
2021/01/18 3:10:39 午後 GMT+9,3224364,44,男性,2,3,2,4,3,4,4,5,2,4,3,3,2,3,3,2,4,3,3,3,4,2,3,3,3,2
2021/01/18 3:10:46 午後 GMT+9,1641297,36,女性,2,2,2,4,2,1,1,3,1,3,4,2,2,4,4,3,3,3,1,1,1,1,1,3,2,1
2021/01/18 3:10:49 午後 GMT+9,569801,49,男性,2,2,1,4,1,1,1,1,1,3,2,2,2,2,2,1,5,2,1,1,1,2,3,2,1,2
2021/01/18 3:10:50 午後 GMT+9,risose99,44,男性,4,4,2,3,3,2,3,3,4,3,4,3,4,2,2,2,5,2,2,2,3,1,2,3,2,2
2021/01/18 3:11:02 午後 GMT+9,745268,45,女性,2,2,3,4,2,3,3,3,2,3,3,3,2,2,3,4,3,3,2,2,3,3,3,3,3,2
2021/01/18 3:11:08 午後 GMT+9,3799202,40,女性,3,4,2,3,3,3,4,4,3,4,4,3,4,2,2,3,4,3,2,2,2,2,3,3,2,2
2021/01/18 3:11:13 午後 GMT+9,tiger100,55,男性,3,3,1,3,3,3,3,3,1,3,3,2,3,3,3,2,4,3,2,2,3,2,3,3,2,2
2021/01/18 3:11:15 午後 GMT+9,3977863,28,女性,4,4,4,2,4,4,4,4,4,3,4,4,4,3,3,4,4,3,2,2,4,4,3,3,3,3
2021/01/18 3:11:19 午後 GMT+9,276409,47,男性,2,3,2,4,2,4,4,5,2,3,2,2,2,2,2,2,4,2,1,2,3,2,2,3,2,3
2021/01/18 3:11:21 午後 GMT+9,https://crowdworks.jp/public/employees/1275641,30,女性,2,1,3,5,4,1,1,2,1,3,3,1,2,1,1,5,5,4,1,1,1,3,1,1,1,1
2021/01/18 3:11:27 午後 GMT+9,1312909,51,女性,5,5,2,3,3,1,1,2,1,1,1,2,1,4,3,1,3,2,1,1,1,1,1,1,1,1
2021/01/18 3:11:29 午後 GMT+9,4102110,24,男性,2,3,2,4,2,1,1,3,2,2,2,2,2,2,2,2,5,1,2,1,2,2,2,2,2,2
2021/01/18 3:11:31 午後 GMT+9,2761388,48,男性,4,4,2,4,3,3,3,4,3,3,3,3,3,3,3,3,4,3,2,2,2,3,3,3,2,2
2021/01/18 3:11:39 午後 GMT+9,2037776,29,男性,2,2,2,4,3,3,2,3,2,2,3,2,2,3,3,2,3,3,2,2,2,4,2,3,3,3
2021/01/18 3:11:39 午後 GMT+9,1176794,55,男性,3,3,2,2,3,2,2,3,2,3,2,3,3,3,3,2,4,2,1,1,2,3,2,2,1,2
2021/01/18 3:11:39 午後 GMT+9,1610899,44,男性,4,4,4,3,3,2,3,2,2,3,3,3,3,4,4,4,4,3,2,2,3,2,2,3,2,3
2021/01/18 3:11:40 午後 GMT+9,932983,45,男性,2,2,1,4,2,3,3,4,3,3,1,2,2,2,2,1,4,2,2,1,1,3,1,3,1,1
2021/01/18 3:11:45 午後 GMT+9,2891372,34,男性,4,3,2,3,3,3,3,3,2,3,3,3,4,3,2,2,4,3,3,3,3,2,3,3,3,2
2021/01/18 3:11:45 午後 GMT+9,2400065,32,男性,4,3,3,5,4,3,3,4,4,3,2,4,4,4,3,3,2,4,3,4,3,2,4,3,3,3
2021/01/18 3:11:47 午後 GMT+9,4073993,40,女性,4,5,3,2,2,3,3,4,2,3,3,3,4,4,3,4,3,4,2,2,1,3,3,3,2,2
2021/01/18 3:11:55 午後 GMT+9,4072665　epideriz,47,女性,4,4,3,4,3,3,4,4,2,4,2,2,2,4,4,3,4,2,4,2,4,2,4,4,3,3
2021/01/18 3:11:56 午後 GMT+9,4069173,31,女性,3,3,1,3,3,1,1,1,1,3,3,2,3,3,3,2,4,3,1,1,1,2,3,3,1,3
2021/01/18 3:11:58 午後 GMT+9,2291385,33,女性,5,5,4,2,4,4,4,5,4,4,5,5,3,5,4,2,3,4,2,3,3,4,3,3,2,4
2021/01/18 3:12:03 午後 GMT+9,327986,31,女性,4,4,4,3,3,2,2,3,4,4,4,3,3,2,2,5,5,2,1,1,3,3,3,3,1,1
2021/01/18 3:12:11 午後 GMT+9,3816528,33,女性,2,2,3,4,3,3,4,3,1,3,3,2,3,2,2,2,5,2,1,1,2,2,3,4,1,1
2021/01/18 3:12:28 午後 GMT+9,48775617,36,女性,4,4,4,1,4,4,3,5,4,4,5,4,4,4,4,4,2,4,2,2,3,3,3,2,3,3
2021/01/18 3:12:29 午後 GMT+9,3799221,59,男性,3,3,2,4,3,2,3,3,2,4,4,3,2,3,3,2,4,3,4,3,4,2,3,4,3,2
2021/01/18 3:12:34 午後 GMT+9,2141268,45,男性,3,3,2,3,3,3,2,2,2,2,2,2,2,3,3,2,3,3,1,2,2,3,2,2,2,2
2021/01/18 3:12:41 午後 GMT+9,945548,33,女性,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,4,2,2,2,2,2,2,2,2,2
2021/01/18 3:12:45 午後 GMT+9,3690743,20,女性,4,4,4,3,2,1,1,3,3,2,4,2,4,2,2,4,4,3,2,2,1,3,2,1,2,4
2021/01/18 3:12:49 午後 GMT+9,2913068,51,女性,4,3,3,2,3,3,3,3,2,3,3,3,3,2,2,1,4,3,2,2,2,2,3,3,2,2
2021/01/18 3:12:58 午後 GMT+9,2329465,57,女性,4,4,4,1,4,4,3,4,3,3,4,4,4,3,3,3,3,3,2,2,3,3,3,3,3,2
2021/01/18 3:13:13 午後 GMT+9,3625342,46,女性,2,3,3,2,3,2,3,2,1,2,4,3,3,2,2,3,5,2,1,2,1,2,2,2,2,2
2021/01/18 3:13:17 午後 GMT+9,1746328,46,男性,4,4,3,2,4,3,3,4,3,3,4,3,4,2,2,1,2,2,1,2,2,1,2,3,2,1
2021/01/18 3:13:22 午後 GMT+9,3313568,40,女性,2,2,1,4,1,2,2,2,2,2,2,2,2,1,1,1,4,1,2,1,3,4,3,1,1,2
2021/01/18 3:13:33 午後 GMT+9,3153377,35,女性,5,5,3,1,4,4,4,5,2,3,4,5,4,3,3,4,2,3,1,1,2,2,3,2,2,2
2021/01/18 3:13:39 午後 GMT+9,2884266,46,女性,4,5,3,2,4,3,5,4,2,5,5,5,4,2,3,1,4,2,2,2,1,3,4,2,2,2
2021/01/18 3:13:54 午後 GMT+9,1821086,31,男性,4,4,3,2,3,4,4,3,3,3,3,4,4,3,3,2,4,3,2,2,2,2,3,3,2,2
2021/01/18 3:14:29 午後 GMT+9,4093087,38,女性,3,2,2,3,4,3,4,4,2,3,3,3,2,3,4,3,3,3,2,2,2,2,3,2,2,3
2021/01/18 3:14:30 午後 GMT+9,2022311,47,女性,2,2,2,4,2,3,3,2,2,3,3,2,2,2,2,3,4,3,1,2,2,2,2,3,2,2
2021/01/18 3:14:31 午後 GMT+9,39405,47,女性,4,3,2,4,3,1,1,1,3,1,1,1,2,3,2,2,4,3,2,2,2,3,2,2,1,2
2021/01/18 3:15:02 午後 GMT+9,3878230,41,女性,3,2,2,3,3,3,3,2,2,3,3,3,3,2,2,2,4,3,2,2,2,2,3,3,2,3
2021/01/18 3:15:22 午後 GMT+9,3225000,41,女性,4,4,3,1,4,3,3,3,3,3,3,3,4,4,4,3,1,3,3,3,3,3,3,3,3,4
2021/01/18 3:15:51 午後 GMT+9,4084283,34,女性,5,5,5,1,4,5,5,5,5,4,5,5,5,3,5,2,1,4,1,1,1,4,3,1,2,2
2021/01/18 3:15:57 午後 GMT+9,1822057,31,女性,3,4,3,2,3,4,4,2,1,3,4,4,3,2,3,2,3,3,1,2,3,2,3,3,2,2
2021/01/18 3:16:04 午後 GMT+9,1721608,55,女性,3,4,4,2,3,4,4,4,3,4,3,4,4,3,3,4,2,3,3,3,3,3,3,3,3,4
2021/01/18 3:16:06 午後 GMT+9,2260490,25,女性,2,3,3,4,4,2,2,4,2,3,4,2,4,4,4,4,3,4,5,3,3,4,3,3,4,4
2021/01/18 3:16:07 午後 GMT+9,1065632,49,女性,2,4,3,4,4,4,4,2,4,4,4,4,4,2,2,2,4,3,2,2,1,4,3,1,1,2
2021/01/18 3:16:21 午後 GMT+9,3876347,23,男性,4,4,4,1,4,4,4,4,3,4,4,4,4,4,4,3,2,3,3,4,4,3,4,4,4,3
2021/01/18 3:16:23 午後 GMT+9,3110123,41,男性,4,4,2,2,3,2,2,2,2,2,4,2,4,4,4,2,1,3,2,2,1,2,1,2,1,3
2021/01/18 3:16:31 午後 GMT+9,3158965,36,女性,4,4,4,3,4,3,4,4,3,4,4,4,3,3,3,4,2,3,2,1,2,3,3,2,2,2
2021/01/18 3:16:52 午後 GMT+9,3810428,39,女性,5,5,4,2,5,5,4,4,3,5,5,4,5,4,3,3,2,4,3,3,3,4,5,3,4,3
2021/01/18 3:16:56 午後 GMT+9,1533590,43,男性,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
2021/01/18 3:16:58 午後 GMT+9,1653083,54,男性,2,2,2,2,3,3,3,4,1,4,3,2,2,2,2,4,4,2,2,2,2,1,2,2,2,2
2021/01/18 3:16:59 午後 GMT+9,757184,52,男性,4,2,4,2,3,2,2,2,4,4,3,2,2,3,2,2,4,3,2,2,2,4,3,3,2,2
2021/01/18 3:17:03 午後 GMT+9,4099497,35,男性,1,1,1,5,2,1,1,1,1,3,2,1,1,2,2,1,5,2,1,1,1,1,2,2,1,2
2021/01/18 3:17:08 午後 GMT+9,1046477,26,男性,3,4,3,3,4,3,3,3,3,3,2,3,3,3,4,3,3,4,2,3,3,3,3,2,3,3
2021/01/18 3:17:33 午後 GMT+9,930809,26,男性,2,3,2,4,2,1,2,2,3,2,3,2,2,3,3,2,3,3,2,1,2,3,1,3,2,2
2021/01/18 3:17:47 午後 GMT+9,734579,32,女性,2,4,2,2,3,1,2,2,3,3,3,2,3,4,4,4,3,4,2,3,3,3,3,3,3,4
2021/01/18 3:17:57 午後 GMT+9,3366361,53,男性,4,3,2,3,2,2,3,3,3,4,3,2,2,2,2,4,4,2,1,1,1,3,3,3,2,2
2021/01/18 3:19:06 午後 GMT+9,1524355,33,男性,3,3,2,3,4,2,2,1,2,2,2,2,3,1,2,2,5,1,1,1,2,2,2,2,1,1
2021/01/18 3:19:24 午後 GMT+9,3876500,22,男性,4,4,4,1,4,4,5,5,4,5,5,5,5,4,4,3,2,4,3,4,4,3,4,4,4,3
2021/01/18 3:21:43 午後 GMT+9,2589230,32,女性,3,3,3,2,3,3,3,2,2,3,3,2,3,3,3,4,4,3,2,2,2,2,3,3,2,2
2021/01/18 3:21:58 午後 GMT+9,3714537,29,女性,2,3,3,4,3,2,2,4,2,2,2,2,3,2,3,2,1,3,2,2,2,2,2,2,1,3
2021/01/18 3:22:13 午後 GMT+9,1633704,44,男性,4,4,4,1,4,4,4,4,3,4,3,4,4,4,4,4,2,3,4,3,3,3,3,3,3,3
2021/01/18 3:22:45 午後 GMT+9,4063204,57,男性,4,4,4,1,5,4,5,5,4,5,5,5,5,4,4,3,2,4,3,4,4,3,4,4,4,3
2021/01/18 3:23:17 午後 GMT+9,2530926,45,男性,5,5,3,1,3,3,3,3,3,3,3,3,2,4,4,1,4,3,2,1,3,3,3,3,1,2
2021/01/18 3:24:12 午後 GMT+9,4074220,47,女性,3,3,1,1,3,2,2,3,2,3,3,2,2,2,2,1,4,2,2,2,2,2,3,3,2,2
2021/01/18 3:25:35 午後 GMT+9,1653418,45,女性,4,5,3,1,4,3,5,4,3,4,4,4,4,3,4,5,2,3,4,3,3,3,4,4,3,3
2021/01/18 3:26:45 午後 GMT+9,2173230,35,男性,3,3,3,2,3,2,2,2,2,3,4,2,3,3,3,2,3,3,2,2,2,2,3,3,2,2
2021/01/18 3:26:59 午後 GMT+9,1526455,28,男性,2,2,2,4,3,1,2,1,1,3,3,2,2,2,2,3,5,3,1,1,2,1,2,2,2,1
2021/01/18 3:27:01 午後 GMT+9,2730191,33,男性,4,4,3,2,4,3,3,4,4,2,2,3,4,2,2,3,4,3,2,1,1,2,3,2,2,2
2021/01/18 3:27:32 午後 GMT+9,377924,39,男性,4,4,3,1,4,3,3,3,3,3,4,4,5,3,4,5,2,4,2,3,2,3,3,3,3,4
2021/01/18 3:27:48 午後 GMT+9,3786402,27,男性,4,4,4,1,4,3,3,4,3,4,4,4,4,3,3,2,3,3,2,3,3,2,3,3,3,3
2021/01/18 3:32:40 午後 GMT+9,3124577,38,女性,2,3,1,4,2,2,2,1,3,3,4,1,3,2,2,2,5,1,1,1,2,3,3,3,1,1
2021/01/18 3:33:17 午後 GMT+9,297683,44,男性,4,4,3,2,4,3,3,4,4,3,4,4,4,4,4,5,2,4,3,3,2,4,3,4,3,3
2021/01/18 3:33:20 午後 GMT+9,3164669,30,女性,2,2,3,4,3,3,3,2,2,2,4,2,2,1,2,4,5,3,1,1,2,3,3,3,1,2
2021/01/18 3:34:02 午後 GMT+9,603644,32,男性,4,4,3,4,3,3,3,4,2,3,2,3,3,3,3,2,4,3,1,1,2,3,3,2,2,3
2021/01/18 3:41:07 午後 GMT+9,3184242,40,女性,1,2,1,4,3,1,1,1,1,1,1,1,2,1,1,4,4,2,1,2,2,1,3,2,1,1
2021/01/18 3:49:47 午後 GMT+9,466071,44,男性,4,4,3,1,4,4,4,4,4,4,3,4,4,2,2,3,4,2,2,2,3,3,3,3,2,2
2021/01/18 3:56:38 午後 GMT+9,3554155,37,女性,4,4,4,3,3,3,4,4,2,3,3,4,4,3,3,3,4,3,2,2,2,2,3,3,2,2
2021/01/18 3:58:58 午後 GMT+9,930821,29,男性,4,5,4,3,4,5,4,4,4,5,5,4,5,2,2,2,3,2,2,3,2,2,3,4,3,2
2021/01/18 4:01:22 午後 GMT+9,2933739,53,女性,5,4,5,2,3,3,3,4,3,3,4,3,4,2,2,5,4,2,3,3,2,3,3,3,3,3
2021/01/18 4:05:00 午後 GMT+9,2349425,37,男性,3,4,4,3,3,2,2,2,2,2,4,2,2,2,2,4,4,3,4,3,4,2,4,2,2,3
2021/01/18 4:06:03 午後 GMT+9,3312891,29,男性,4,4,2,2,4,3,3,4,2,5,4,4,4,4,4,4,1,4,3,3,3,2,3,4,3,4
2021/01/18 4:06:13 午後 GMT+9,1229329,41,男性,2,2,2,2,2,3,3,3,2,3,3,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1
2021/01/18 4:06:25 午後 GMT+9,3114141,56,女性,5,5,3,1,3,4,3,3,4,3,3,3,4,5,5,3,1,3,3,3,2,4,3,3,3,4
2021/01/18 4:07:33 午後 GMT+9,2472020,41,男性,1,1,1,5,1,1,1,1,1,1,1,1,1,2,2,2,4,1,1,1,1,1,1,1,1,2
2021/01/18 4:08:02 午後 GMT+9,3675780,38,男性,3,4,3,4,3,2,2,3,4,3,3,3,3,2,3,3,4,2,2,2,2,3,2,2,2,2
2021/01/18 4:10:18 午後 GMT+9,1339624,32,男性,3,4,3,2,3,3,2,3,3,3,2,2,3,3,4,3,2,3,3,4,3,2,3,3,4,3
2021/01/18 4:12:11 午後 GMT+9,1086548,36,女性,4,4,1,5,4,3,4,4,3,3,4,3,3,4,4,2,4,4,4,4,4,2,4,4,4,3
2021/01/18 4:22:27 午後 GMT+9,3856462,45,男性,1,1,1,5,3,1,1,1,1,3,3,1,1,2,2,1,4,3,1,1,1,2,3,3,1,1
2021/01/18 4:24:29 午後 GMT+9,1687203,42,女性,3,4,2,4,3,2,2,2,1,2,3,2,3,2,2,1,4,2,1,1,1,1,1,1,1,1